898 8564 4870 5366 6851 ,33 8777 5010 5553 6700 
1544 3567 5438 4221 570 ,1455 3922 5225 4497 732 
3483 9249 2897 7654 5723 ,3218 9619 2217 7307 5798 
5444 2032 3001 7246 9812 ,5791 1832 2593 7387 9389 
195 6916 5046 2349 5250 ,793 6346 5036 3135 5187 
8483 4806 7230 4145 6753 ,8801 4313 7869 3366 6698 
6283 5887 1613 9215 4449 ,6175 5892 1942 9438 4977 
7178 1468 3471 9775 2960 ,7307 1121 4148 9431 2260 
9173 2566 7919 5801 8630 ,9832 3022 7448 5724 8031 
805 8342 5270 7788 5129 ,366 8798 5626 7986 4854 
6096 3632 2679 8965 9986 ,6695 4060 3010 8171 9561 
2425 9890 5373 1948 3944 ,2475 9729 5335 1342 3270 
4867 9877 29 2507 5461 ,4802 8991 885 2774 5786 
5704 8237 9972 992 893 ,5617 8343 9236 1472 732 
6171 1748 7090 9291 2775 ,6697 1078 7695 9710 2680 
7077 9413 2624 6346 4266 ,7452 9537 2658 6563 4721 
9493 8560 7447 6964 5291 ,9066 8442 8006 6564 5269 
2264 6272 3484 864 4715 ,2664 6877 3693 640 4661 
647 1490 2247 5594 3339 ,367 1716 2548 5618 3434 
3260 6955 69 2845 8473 ,3803 6503 874 2975 8849 
8202 5160 6301 1651 2624 ,8140 5247 6292 1996 2751 
3464 6674 2291 799 7607 ,3795 6088 2543 114 7727 
1923 4614 3668 6922 8299 ,1263 4210 3531 6408 8939 
7234 2031 2940 959 8370 ,7002 1415 2799 477 8198 
776 6066 8541 9952 4585 ,263 6826 8267 9330 4936 
4170 1677 823 9039 5686 ,4484 1054 582 9037 5789 
7158 9383 6382 3045 5952 ,7264 9261 6675 3106 5455 
2637 1715 5230 5116 7351 ,2645 1643 5698 4701 7370 
2659 5362 1347 6563 8832 ,2765 5566 1207 6412 8134 
981 8537 7863 2843 5696 ,1948 8020 7174 2334 5955 
878 2104 7574 5691 4470 ,863 2102 7893 5548 4793 
7942 5970 6133 9997 3352 ,7295 5245 6419 9248 3968 
5974 978 4189 1096 7694 ,5521 516 4780 1960 7146 
5216 7581 6426 4957 309 ,5304 7726 6270 5095 50 
6182 9801 4710 3025 8735 ,6381 9926 5006 2780 8748 
5370 8238 6714 4432 3429 ,5922 8615 6547 4577 4100 
